ProjectID,ProjectTitle,ProjectBudget,ProjectLocation,ProjectImplementor,ProjectTheme,ProjectAdoptionDate,ProjectStartDate,ProjectEndDate,ProjectLinks,Comments,multiple countries?,DE implementing?,Region
T05-EUTF-NOA-REG-16,Regional - Fast track emergency response to COVID-19 in NoA countries for the most vulnerable populations COVID-19,10000000,,UN agencies,,,,2022-07-02,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9043/document/T05-EUTF-NOA-REG-16modified.pdf,implementor manually added march 14 2022,FALSE,FALSE,NOA
T05-EUTF-NOA-REG-17,Regional - Pour une approche holistique de la gouvernance de la migration de main d’œuvre et la mobilité en Afrique du Nord – THAMM Phase II,5000000,,OFII,,2020-07-02,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9046/document/T05-EUTF-NOA-REG-17modified.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-TN-01,Favoriser la mise en œuvre de la stratégie nationale migratoire de la Tunisie,12800000,Tunisia,"Agence Française de Développement, ICMPD, Expertise France, GIZ",Improved migration management,2016-12-16,2016-12-16,2020-05-13,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6016/document/T05-EUTF-NOA-TN-01modified.pdf,,FALSE,TRUE,NOA
T05-EUTF-NOA-TN–02,Programme Gouvernance Stratégie Migration Tunisienne ProGreS Migration – phase II,5700000,Tunisia,,Improved migration management,,,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9440/document/T05-EUTF-NOA-TN-02.pdf,implementor manually added march 14 2022,FALSE,FALSE,NOA
T05-EUTF-NOA-TN–03,Protection des personnes migrantes en situation de vulnérabilité en Tunisie,3600000,Tunisia,,Improved migration management,2020-10-23,,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9441/document/T05-EUTF-NOA-TN-03.pdf,implementor manually added march 14 2022,FALSE,FALSE,NOA
T05-EUTF-REG-REG-01,Research and Evidence Facility for the Sahel and Lake Chad Region and the North of Africa,19000000,"Burkina Faso, Senegal, Tchad, The Gambia, Algeria, Egypt, Libya, Morocco, Tunisia, Cameroun, Côte d'Ivoire, Ghana, Guinée, Mali, Mauritanie, Niger, Nigeria","ICMPD, The Global Initiative against Transnational Organized Crime",,,2016-10-10,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6275/document/T05-EUTF-REG-REG-01%20-%20Avenant%202.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6275/document/new%20-%20T05-EUTF-REG-REG-01%20-%20final.pdf",,TRUE,FALSE,REG
T05-EUTF-HOA-REG-67,CRRF: Inclusive Urban Development and Mobility,8200000,"Uganda, Ethiopia",International Rescue Committee,,,2019-12-09,2022-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8579/document/T05-EUTF-HOA-REG-67_-_CRRF_Urban_Development_and_Mobility_incl._2_rider.pdf,implementor manually added march 14 2022,TRUE,FALSE,HOA
T05-EUTF-REG-REG-02,Technical Cooperation Facility,17993979.53,"Burkina Faso, Senegal, Tchad, The Gambia, Djibouti, Eritrea, Ethiopia, Kenya, Somalia, South Sudan, Sudan, Cameroun, Tanzania, Uganda, Algeria, Egypt, Libya, Morocco, Tunisia, Côte d'Ivoire, Ghana, Guinée, Mali, Mauritanie, Niger, Nigeria",,,,2016-01-14,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6285/document/T05-EUTF-REG-REG-02_-_Technical_Cooperation_Facility_incl._8_riders.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6285/document/b20191217_J10_Addendum_4_T05-EUTF-REG-REG-02.pdf",implementor manually added march 14 2022,TRUE,FALSE,REG
T05-EUTF-REG-REG-04,Protection and sustainable solutions for migrants and refugees along the Central Mediterranean route,115000000,"Mauritanie, Niger, Nigeria, Senegal, Djibouti, Eritrea, Ethiopia, Kenya, Somalia, South Sudan, Burkina Faso, Sudan, Tanzania, Uganda, Cameroun, Tchad, Côte d'Ivoire, The Gambia, Ghana, Guinée, Mali","International Organization for Migration, United Nations High Commissioner for Refugees",Improved migration management,,2017-12-01,2020-12-01,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6984/document/IOM_UNHCR%20Emergency%20Protection%20%20.pdf,,TRUE,FALSE,REG
T05-EUTF-SAH-BF-01,"Programme ""LRRD"" de renforcement de la résilience des communautés vulnérables à l’insécurité alimentaire et nutritionnelle dans les zones frontalières septentrionales au Burkina Faso",30000000,Burkina Faso,"LVIA, Action Contre la Faim, Oxford Committee for Famine Relief, Humanity & Inclusion, Terre des Hommes",Strengthening resilience,2016-04-18,2017-06-01,2020-04-17,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5635/document/T05-EUTF-SAH-BF-01-Avenant.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5635/document/T05-EUTF-SAH-BF-01.pdf",,FALSE,FALSE,SAH
T05-EUTF-SAH-BF-02,Insertion et Stabilisation Socio - Economique des Jeunes et Femmes dans la Province du Séno,5200000,Burkina Faso,MAECI DGCS - Ministero degli Affari Esteri e della Cooperazione Internazionale,Greater economic and employment opportunities,2017-01-01,,2019-12-31,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5636/document/Communique%20de%20presse_lanct_FFU%20regional%20Sahel_VF%20MSI.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5636/document/T05-EUTF-SAH-BF-02.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5636/document/20161128_presse_stabilisation_seno_fr.pdf",,FALSE,FALSE,SAH
T05-EUTF-SAH-BF-03,Programme Gestion Intégrée des Espaces Frontaliers au Burkina Faso (ProGEF),30000000,Burkina Faso,GIZ,Improved governance and conflict prevention,2017-03-15,,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5637/document/20171205%20ProGEF%20Top-UP%20avec%20cadre%20logique_FINAL_uXm7x92.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5637/document/20171205%20ProGEF%20Top-UP%20avec%20cadre%20logique_FINAL.pdf",,FALSE,TRUE,SAH
T05-EUTF-SAH-BF-04,Renforcement de la gestion et de la gouvernance des migrations et le retour et la réintégration durable au Burkina Faso,8300000,Burkina Faso,International Organization for Migration,Improved migration management,2017-05-15,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5629/document/T05-EUTF-SAH-BF-04%20Migration.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-BF-05,Programme d’appui à l’Emploi dans les zones frontalières et périphériques,7000000,Burkina Faso,Expertise France,Greater economic and employment opportunities,2017-07-16,2017-07-01,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5573/document/T05-EUTF-SAH-BF-05%20Emploi.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-BF-06,TUUMA - Appui à la compétence professionnelle l’entreprenariat et l'emploi des jeunes et des femmes dans les régions rurales du Burkina Faso,8000000,Burkina Faso,Austrian Development Agency,Greater economic and employment opportunities,2018-01-01,,2021-06-30,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5584/document/T05-EUTF-SAH-BF-06.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-BF-07,Protection des jeunes dans les zones à risque au Burkina Faso à travers l'éducation et le dialogue.,9000000,Burkina Faso,"Ministère de l'éducation nationale et de l'alphabétisation, Diakonia",Improved governance and conflict prevention,,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6678/document/T05-EUTF-SAH-BF-07_Education%20coranique_FINAL.pdf,implementor manually added march 14 2022,FALSE,FALSE,SAH
T05-EUTF-SAH-BF-08,Prévention de l’extrémisme violent autochtone,7000000,Burkina Faso,EU Delegation Burkina Faso,Improved governance and conflict prevention,2017-12-13,,,,implementor manually added march 14 2022,FALSE,FALSE,SAH
T05-EUTF-SAH-BF-09,Appui budgétaire pour la mise en œuvre du Programme d'Urgence Sahel du Burkina Faso,80000000,Burkina Faso,"Ministère de l'économie, des finances, et du développement, Eau Vive International",Improved governance and conflict prevention,,,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6680/document/Final_T05-EUTF-SAH-BF-09_PUS_AVENANT_1.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6680/document/T05-EUTF-SAH-BF-09_PUS_FINAL.pdf",implementor manually added march 14 2022,FALSE,FALSE,SAH
T05-EUTF-SAH-BF-10,Retour de la confiance et renforcement des capacités sécuritaires au Burkina Faso (RENFORCES BURKINA FASO III),7000000,Burkina Faso,Expertise France,Improved governance and conflict prevention,2020-06-19,,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9368/document/DEC_-_T05-EUTF-SAH-BF-10_.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-BF-11,Appui à la justice au Burkina Faso pour renforcer la lutte contre l’impunité au travers d’un système judiciaire plus accessible et efficace,10000000,Burkina Faso,,Improved governance and conflict prevention,,2020-10-09,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9370/document/DEC_-_T05-EUTF-SAH-BF-11_.pdf,implementor manually added march 14 2022,FALSE,FALSE,SAH
T05-EUTF-SAH-CI-02,Appui à la mise en œuvre de la Stratégie nationale de l’état civil et de l’identification de Côte d’Ivoire,5000000,Côte d'Ivoire,Civipol,Improved migration management,2020-11-01,2021-01-03,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9371/document/T05-EUTF-SAH-CI-02_AD_etat_civil_CdI_VF.docx,,FALSE,FALSE,SAH
T05-EUTF-SAH-CI-03,Programme de soutien à l’économie dans le contexte de la crise du COVID 19 en Côte d’Ivoire (PSRE-COVID-CI),25000000,Côte d'Ivoire,Fundación Internacional y para Iberoamérica de Administración y Políticas Públicas,Greater economic and employment opportunities,2020-11-02,,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9373/document/DEC_-_T05-EUTF-SAH-CI-03_.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-CM-01,Programme de réponse à l’impact des mouvements de populations internes et externes dans les régions du septentrion du Cameroun,20000000,Cameroun,"SNV Netherlands Development Organisation, Action Contre la Faim",Strengthening resilience,2016-04-18,,2020-06-30,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5402/document/T05-EUTF-SAH-CM-01.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-CM-02,Projet de Promotion de l’Emploi et Renforcement de la Résilience au Nord Cameroun (Extrême-Nord Nord et Adamaoua),7000000,Cameroun,GIZ,Greater economic and employment opportunities,2016-10-01,2017-03-01,2019-09-30,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5399/document/Parse_v1-Correction-10-vf-FR-4.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5399/document/T05-EUTF-SAH-CM-02.pdf",,FALSE,TRUE,SAH
T05-EUTF-SAH-CM-03,Projet d’investissement en appui au développement économique local dans l’Extrême Nord favorisant l’emploi et l’insertion des jeunes,10000000,Cameroun,Agence Française de Développement,Greater economic and employment opportunities,,2016-09-22,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5398/document/T05-EUTF-SAH-CM-03.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-CM-04,Renforcement de la gestion et de la gouvernance des migrations et le retour et la réintégration durable au Cameroun,3300000,Cameroun,International Organization for Migration,Improved migration management,,2017-06-17,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5590/document/T05-EUTF-SAH-CM-04%20-%20Migration.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-GH-01,Strengthening Border Security in Ghana,5000000,Ghana,ICMPD,Improved governance and conflict prevention,2019-04-04,,2023-04-04,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7794/document/Final_T05-EUTF-SAH-GH-01_BORDER.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-GH-02,Boosting green employment and enterprise opportunities in Ghana,20000000,Ghana,"United Nations Capital Development Fund, SNV Netherlands Development Organisation, Ghana",Greater economic and employment opportunities,2019-04-04,,2023-04-04,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7795/document/Final_T05-EUTF-SAH-GH-02_EMPLOYMENT.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-GM-01,Youth Empowerment Project,11000000,The Gambia,ITC - International Trade Center,Greater economic and employment opportunities,2016-10-30,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5397/document/T05-EUTF-SAH-GM-01.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-GM-02,Strengthening the management and governance of migration and the sustainable reintegration of returning migrants in the Gambia,3900000,The Gambia,International Organization for Migration,Improved migration management,2017-07-03,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5592/document/T05-EUTF-SAH-GM-02%20-%20Migration.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-GM-03,Building a future - Make it in The Gambia,23000000,The Gambia,"ITC - International Trade Center, ENABEL - Belgian Development Agency, Instituto Marquês de Valle Flôr, GK Partners, GIZ",Greater economic and employment opportunities,2018-05-29,2018-05-29,2020-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7140/document/T05-EUTF-SAH-GM-03%28bisIII%29.pdf,,FALSE,TRUE,SAH
T05-EUTF-SAH-GM-04,Digitalising The Gambia – Technical assistance to strengthen the ICT sector,1050000,The Gambia,ENABEL - Belgian Development Agency,Greater economic and employment opportunities,2020-10-09,,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9323/document/DEC_-_T05-EUTF-SAH-GM-04_.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-GN-01,Programme d'appui à l'intégration socio-économique des jeunes (INTEGRA),65000000,Guinée,"GIZ, ENABEL - Belgian Development Agency, ITC - International Trade Center",Greater economic and employment opportunities,2017-12-13,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6682/document/T05-EUTF-SAH-GN-01%20-%20INTEGRAfinal.pdf,,FALSE,TRUE,SAH
T05-EUTF-SAH-GN-04,RESIGUI / Améliorer la résilience des populations vulnérables de Guinée,8000000,Guinée,World Food Programme,"Strengthening resilience, Improved governance and conflict prevention",2020-06-19,,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9363/document/DEC_-_T05-EUTF-SAH-GN-04_.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-GN-05,Projet pilote d’amélioration du système d’état civil guinéen par l’effet catalyseur de la digitalisation,5000000,Guinée,ENABEL - Belgian Development Agency,"Improved migration management, Improved governance and conflict prevention",2020-10-09,2021-01-10,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9364/document/DEC_-_T05-EUTF-SAH-GN-05.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-ML-01,Programme de renforcement de la résilience des communautés des ménages et des individus vulnérables à l’insécurité alimentaire et nutritionnelle au Mali,25000000,Mali,"Humanity & Inclusion, SOS SAHEL, Oxford Committee for Famine Relief",Strengthening resilience,2017-01-23,,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5638/document/T05-EUTF-SAH-ML-01-%20Avenant.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5638/document/T05-EUTF-SAH-ML-01-%20AF%20-%20Resilience%20Nord%20Mali%20VF.pdf",,FALSE,FALSE,SAH
T05-EUTF-SAH-ML-02,Création d'emplois par l’amélioration de la filière de l’anacarde afin d’atténuer les causes de l’émigration dans les régions de Sikasso Kayes et Koulikoro,13576233,Mali,Spanish Agency for International Development Cooperation ,Greater economic and employment opportunities,,2016-10-08,2020-10-08,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5394/document/T05-EUTF-SAH-ML-02%20-%20AF%20-%20Anacarde%20Cooperation%20Espagnole.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-ML-03,Relance de l’Economie et Appui aux Collectivités II (RELAC II),10000000,Mali,Luxembourg Development Cooperation Agency,Strengthening resilience,,2016-09-30,2019-09-30,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5396/document/T05-EUTF-SAH-ML-03%20-%20AF%20-%20Fiche%20projet%20LUXDEV%20Mali%20-%20RELAC%20II.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-ML-04,Sécurité et Développement au Nord du Mali – phase 2,13000000,Mali,Agence Française de Développement,Improved governance and conflict prevention,,2016-09-21,2019-09-21,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5395/document/J10_addendum1_T05-EUTF-SAH-ML-04.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5395/document/T05-EUTF-SAH-ML-04.pdf",,FALSE,FALSE,SAH
T05-EUTF-SAH-ML-05,Projet d’appui aux investissements de la diaspora malienne dans les régions d’origine,6000000,Mali,Agence Française de Développement,Greater economic and employment opportunities,,2016-09-22,2020-09-22,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5393/document/T05-EUTF-SAH-ML-05.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-ML-06,Programme d'Appui au Renforcement de la Sécurité dans les régions de Mopti et de Gao et à la gestion des zones frontalières (PARSEC Mopti-Gao),29000000,Mali,Expertise France,Improved governance and conflict prevention,2017-03-15,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5639/document/T05-EUTF-SAH-ML-06.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-ML-07,Renforcement de la gestion et de la gouvernance des migrations et le retour et la réintégration durable au Mali,15000000,Mali,"Spanish Agency for International Development Cooperation , International Organization for Migration",Improved migration management,2017-07-03,2018-09-04,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5595/document/T05-EUTF-SAH-ML-07%20-%20Migration.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-ML-08,Programme d'appui au fonctionnement de l'état civil au Mali: appui à la mise en place d’un système d’information sécurisé,25000000,Mali,"Civipol, ENABEL - Belgian Development Agency",Improved governance and conflict prevention,2017-05-08,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5609/document/T05-EUTF-SAH-ML-08%20-%20Etat%20civil.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-ML-09,Youth Employment Creates Opportunities At Home in Mali,20000000,Mali,SNV Netherlands Development Organisation,Greater economic and employment opportunities,2017-05-15,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5610/document/T05-EUTF-SAH-ML-09%20SNV%20Emploi.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-ML-10,Programme Jeunesse et Stabilisation – PROJES – régions du centre du Mali,35000000,Mali,GIZ,Strengthening resilience,2017-12-13,,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6683/document/T05-EUTF-SAH-ML-10-PROJES_avenant_1.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6683/document/T05-EUTF-SAH-ML-10-PROJES_VF.pdf",,FALSE,TRUE,SAH
T05-EUTF-SAH-ML-11,Programme d'actions à impact rapide pour la stabilisation des régions du Centre Mali,10000000,Mali,,Improved governance and conflict prevention,,,2021-05-29,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7145/document/T05-EUTF-SAH-ML-11-rev.pdf,implementor manually added march 14 2022,FALSE,FALSE,SAH
T05-EUTF-SAH-ML-12,Appui au Développement Economique Local et à la prévention des conflits dans les régions de Tombouctou et Gao (ADEL),13000000,Mali,Luxembourg Development Cooperation Agency,Strengthening resilience,2019-04-04,,2022-04-04,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7796/document/Final_T05-EUTF-SAH-ML-12_ADEL.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-ML-13,Common Operational Partnership (COP) Mali,2850000,Mali,"Civipol, Fundación Internacional y para Iberoamérica de Administración y Políticas Públicas","Improved migration management, Improved governance and conflict prevention",2020-11-30,,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9519/document/DEC_-_T05-EUTF-SAH-ML-13.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-MR-01,Projet PECOBAT : Amélioration de l’employabilité des jeunes et des capacités des PME par le développement du sous-secteur du BTP,3200000,Mauritanie,OIT - ILO - Organisation Internationale du Travail - International Labour Organization,Greater economic and employment opportunities,,2016-04-18,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5392/document/J10_addendum_action_T05-EUTF-SAH-MR-01.doc.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5392/document/T05-EUTF-SAH-MR-01.pdf",,FALSE,FALSE,SAH
T05-EUTF-SAH-MR-02,Renforcement des capacités pour une meilleure gestion de la migration afin de protéger l’enfance migrante contre l’exploitation et la traite,3000000,Mauritanie,Save the Children,Improved migration management,,2016-04-18,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5640/document/J10_addendum_action_T05-EUTF-SAH-MR-02.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5640/document/T05-EUTF-SAH-MR-02.pdf",,FALSE,FALSE,SAH
T05-EUTF-SAH-MR-03,Contribuer au renforcement de la gouvernance et de la gestion des migrations et des frontières et faciliter la protection le retour et la réintégration durable de migrants en Mauritanie,8000000,Mauritanie,International Organization for Migration,Improved migration management,2017-05-15,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5630/document/T05-EUTF-SAH-MR-03%20-%20Migration.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-MR-04,PROMOPÊCHE: Création d’emplois décents et consolidation de l'emploi existant pour les jeunes et potentiels migrants dans le secteur de la pêche artisanale,14000000,Mauritanie,"OIT - ILO - Organisation Internationale du Travail - International Labour Organization, GIZ",Greater economic and employment opportunities,2017-05-15,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5616/document/T05-EUTF-SAH-MR-04%20GIZ-OIT%20peche.pdf,,FALSE,TRUE,SAH
T05-EUTF-SAH-MR-05,PROMOPÊCHE: Promotion de l'emploi et amélioration des conditions de vie des pêcheurs artisanaux côtiers jeunes et femmes aux alentours des espaces naturels protégés secteur nord de Mauritanie,10000000,Mauritanie,Spanish Agency for International Development Cooperation ,Greater economic and employment opportunities,2017-05-15,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5617/document/T05-EUTF-SAH-MR-05%20AECID%20peche.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-MR-06,Résilience pour la cohésion sociale et culturelle en République Islamique de Mauritanie,6000000,Mauritanie,Expertise France,Improved governance and conflict prevention,,2017-05-15,2019-08-31,,,FALSE,FALSE,SAH
T05-EUTF-SAH-MR-07,Programme de renforcement de la résilience des communautés urbaines et rurales vulnérables en Mauritanie,10000000,Mauritanie,"EU Delegation Mauretania, Migration Citoyenneté Développement, GRET",Strengthening resilience,,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6684/document/T05-EUTF-SAH-MR-07%20AMI%20Resilience%20.pdf,implementor manually added march 14 2022,FALSE,FALSE,SAH
T05-EUTF-SAH-MR-08,L’UE pour le nexus sécurité-résilience-développement en Mauritanie,25000000,Mauritanie,Government Of Mauritania,Improved governance and conflict prevention,2018-11-30,,2020-11-30,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7594/document/Annex%20I%20-%20T05-EUTF-SAH-MR-08%20-%20Fiche%20d%27action%20finale.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-MR-09,Partenariat Opérationnel Conjoint pour la Mauritanie (POC Mauritanie),4550000,Mauritanie,Fundación Internacional y para Iberoamérica de Administración y Políticas Públicas,"Improved migration management, Improved governance and conflict prevention",2021-09-01,,2024-09-01,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9802/document/DEC_-_T05-EUTF-SAH-MR-09.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-NE-01,Mécanisme de Réponse et de Ressources pour les Migrants,7000000,Niger,International Organization for Migration,Improved migration management,,2016-08-04,2019-08-04,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5391/document/T05-EUTF-SAH-NE-01.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-NE-02,Renforcement de la gestion durable des conséquences des flux migratoires,25000000,Niger,GIZ,Improved migration management,,2016-10-01,2019-10-01,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5390/document/T05-EUTF-SAH-NE-02%20-%20AF%20-%20GIZ%20-%20gestion%20consequences%20flux%20migratoires.pdf,,FALSE,TRUE,SAH
T05-EUTF-SAH-NE-03,Projet d’appui aux filières agricoles dans les régions de Tahoua et Agadez,30000000,Niger,Agence Française de Développement,Greater economic and employment opportunities,,2016-09-22,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5389/document/T05-EUTF-SAH-NE-03.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-NE-04,Appuyer la formation et l’insertion professionnelle des jeunes filles et garçons des régions d’Agadez et Zinder en vue de contribuer au développement socioéconomique de ces deux régions,6900000,Niger,Luxembourg Development Cooperation Agency,Greater economic and employment opportunities,2017-02-15,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5641/document/T05-EUTF-SAH-NE-04.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-NE-05,Création d’une Equipe Conjointe d’Investigation (ECI) pour la lutte contre les réseaux criminels liés à l’immigration irrégulière la traite des êtres humains et le trafic des migrants,11500000,Niger,Fundación Internacional y para Iberoamérica de Administración y Políticas Públicas,Improved governance and conflict prevention,2017-02-15,,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5642/document/Final_T05-EUTF-SAH-NE-05_ECI_AVENANT_1.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5642/document/T05-EUTF-SAH-NE-05.pdf",,FALSE,FALSE,SAH
T05-EUTF-SAH-NE-06,Contrat relatif à la Reconstruction de l'Etat au Niger en complément du SBC II en préparation / Appui à la Justice Sécurité et à la Gestion des Frontières au Niger,90000000,Niger,"Civipol, Agence Française de Développement",Improved governance and conflict prevention,2017-02-15,,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5643/document/T05-EUTF-SAH-NE-06%20-%20Avenant%202%20-%20CLEAN.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5643/document/T05-EUTF-SAH-NE-06.pdf",,FALSE,FALSE,SAH
T05-EUTF-SAH-NE-07,Renforcement de la gestion et de la gouvernance des migrations et le retour durable au Niger (Sustainable Return from Niger – SURENI),15000000,Niger,International Organization for Migration,Improved migration management,2017-05-15,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5631/document/T05-EUTF-SAH-NE-07-%20Migration.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-NE-08,Plan d'Actions à Impact Economique Rapide à Agadez (PAIERA),8000000,Niger,Haute Autorité à la Consolidation de la Paix - HACP,Strengthening resilience,2017-05-15,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5611/document/T05-EUTF-SAH-NE-08-PAIERA.pdf,,FALSE,FALSE,SAH
T05-EUTF-SAH-NE-09,Renforcement de la résilience institutionnelle et communautaire dans la région Diffa Bassin du Lac Tchad Niger,12000000,Niger,United Nations High Commissioner for Refugees,Strengthening resilience,2017-05-15,,2020-05-15,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5612/document/T05-EUTF-SAH-NE-09-UNHCR.pdf,,FALSE,FALSE,SAH
